Optimal solution:
Rc[alpha,mux1_plin] = 1.0
Rc[extsi58,LSQ_store1] = 0.0
Rc[lazy_fork2,fork26] = 0.0
Rc[lazy_fork2,cond_br26] = 0.0
Rc[lazy_fork2,LSQ4] = 1.0
Rc[fork26,constant3] = 0.0
Rc[fork26,constant31] = 0.0
Rc[constant3,extsi11] = 0.0
Rc[constant31,cond_br40] = 0.0
Rc[source6,constant32] = 0.0
Rc[constant32,extsi59] = 0.0
Rc[extsi59,cmpi10_plin] = 0.0
Rc[source7,constant33] = 0.0
Rc[constant33,extsi60] = 0.0
Rc[extsi60,addi22_plin] = 0.0
Rc[LSQ_store1,LSQ4] = 1.0
Rc[addi22_plout,fork27] = 0.0
Rc[fork27,trunci3] = 0.0
Rc[fork27,cmpi10_plin] = 0.0
Rc[trunci3,cond_br6] = 0.0
Rc[cmpi10_plout,fork28] = 0.0
Rc[fork28,cond_br6] = 0.0
Rc[fork28,cond_br24] = 0.0
Rc[fork28,cond_br25] = 0.0
Rc[fork28,cond_br26] = 0.0
Rc[fork28,cond_br40] = 0.0
Rc[cond_br6,mux26_plin] = 1.0
Rc[cond_br6,sink4] = 1.0
Rc[cond_br24,mux8_plin] = 1.0
Rc[cond_br24,mux16_plin] = 1.0
Rc[cond_br25,mux9_plin] = 1.0
Rc[cond_br25,sink5] = 1.0
Rc[cond_br26,control_merge13] = 1.0
Rc[cond_br26,control_merge15] = 1.0
Rc[cond_br40,extsi61] = 0.0
Rc[cond_br40,sink6] = 1.0
Rc[extsi61,mux29_plin] = 1.0
Rc[mux29_plout,fork29] = 1.0
Rc[fork29,extsi62] = 1.0
Rc[fork29,extsi63] = 1.0
Rc[extsi62,addi23_plin] = 1.0
Rc[extsi63,fork30] = 1.0
Rc[fork30,LSQ_load3_plin] = 0.0
Rc[fork30,mc_load5_plin] = 1.0
Rc[fork30,LSQ_store2] = 0.0
Rc[mux16_plout,cond_br29] = 1.0
Rc[control_merge15,fork31] = 1.0
Rc[control_merge15,lazy_fork3] = 1.0
Rc[fork31,mux29_plin] = 1.0
Rc[fork31,mux16_plin] = 1.0
Rc[lazy_fork3,fork32] = 0.0
Rc[lazy_fork3,cond_br30] = 1.0
Rc[lazy_fork3,LSQ4] = 1.0
Rc[fork32,constant4] = 0.0
Rc[fork32,constant34] = 0.0
Rc[constant4,extsi15] = 0.0
Rc[constant34,cond_br42] = 0.0
Rc[source8,constant35] = 0.0
Rc[constant35,extsi64] = 0.0
Rc[extsi64,cmpi11_plin] = 0.0
Rc[source9,constant36] = 0.0
Rc[constant36,extsi65] = 0.0
Rc[extsi65,addi23_plin] = 0.0
Rc[LSQ_load3_plout,addi3_plin] = 0.0
Rc[LSQ_load3_plout,LSQ4] = 1.0
Rc[mc_load5_plout,addi3_plin] = 1.0
Rc[addi3_plout,LSQ_store2] = 0.0
Rc[LSQ_store2,LSQ4] = 1.0
Rc[addi23_plout,fork33] = 1.0
Rc[fork33,trunci4] = 1.0
Rc[fork33,cmpi11_plin] = 1.0
Rc[trunci4,cond_br41] = 1.0
Rc[cmpi11_plout,fork34] = 1.0
Rc[fork34,cond_br41] = 1.0
Rc[fork34,cond_br29] = 1.0
Rc[fork34,cond_br30] = 1.0
Rc[fork34,cond_br42] = 0.0
Rc[cond_br41,mux29_plin] = 1.0
Rc[cond_br41,sink7] = 1.0
Rc[cond_br29,mux16_plin] = 1.0
Rc[cond_br29,mux18_plin] = 1.0
Rc[cond_br30,control_merge15] = 1.0
Rc[cond_br30,control_merge16] = 1.0
Rc[cond_br42,extsi66] = 0.0
Rc[cond_br42,sink8] = 1.0
Rc[extsi66,mux30_plin] = 1.0
Rc[mux30_plout,fork35] = 1.0
Rc[fork35,extsi67] = 1.0
Rc[fork35,mux32_plin] = 1.0
Rc[extsi67,mc_load7_plin] = 1.0
Rc[mux18_plout,mux21_plin] = 1.0
Rc[control_merge16,fork36] = 1.0
Rc[control_merge16,fork37] = 1.0
Rc[fork36,mux30_plin] = 1.0
Rc[fork36,mux18_plin] = 1.0
Rc[fork37,constant37] = 1.0
Rc[fork37,control_merge17] = 1.0
Rc[constant37,extsi68] = 1.0
Rc[mc_load7_plout,mux20_plin] = 1.0
Rc[extsi68,mux31_plin] = 1.0
Rc[mux31_plout,fork38] = 1.0
Rc[fork38,extsi69] = 1.0
Rc[fork38,extsi70] = 1.0
Rc[fork38,extsi71] = 0.0
Rc[extsi69,addi24_plin] = 1.0
Rc[extsi70,addi25_plin] = 1.0
Rc[extsi71,LSQ_load6_plin] = 0.0
Rc[mux20_plout,addi4_plin] = 1.0
Rc[mux21_plout,fork39] = 1.0
Rc[fork39,muli4_plin] = 0.0
Rc[fork39,cond_br34] = 1.0
Rc[mux32_plout,fork40] = 1.0
Rc[fork40,extsi72] = 0.0
Rc[fork40,cond_br44] = 1.0
Rc[extsi72,muli13_plin] = 0.0
Rc[control_merge17,fork41] = 1.0
Rc[control_merge17,fork42] = 1.0
Rc[fork41,mux31_plin] = 1.0
Rc[fork41,mux20_plin] = 1.0
Rc[fork41,mux21_plin] = 1.0
Rc[fork41,mux32_plin] = 1.0
Rc[fork42,cond_br36] = 1.0
Rc[fork42,LSQ3] = 1.0
Rc[fork42,LSQ4] = 1.0
Rc[source10,constant38] = 0.0
Rc[constant38,fork43] = 0.0
Rc[fork43,extsi73] = 0.0
Rc[fork43,extsi74] = 0.0
Rc[extsi73,muli13_plin] = 0.0
Rc[extsi74,cmpi12_plin] = 0.0
Rc[source11,constant39] = 0.0
Rc[constant39,extsi75] = 0.0
Rc[extsi75,addi25_plin] = 0.0
Rc[muli13_plout,extsi76] = 0.0
Rc[extsi76,addi24_plin] = 0.0
Rc[addi24_plout,extsi77] = 0.0
Rc[extsi77,LSQ_load5_plin] = 0.0
Rc[LSQ_load5_plout,muli4_plin] = 0.0
Rc[LSQ_load5_plout,LSQ3] = 1.0
Rc[muli4_plout,muli5_plin] = 0.0
Rc[LSQ_load6_plout,muli5_plin] = 0.0
Rc[LSQ_load6_plout,LSQ4] = 1.0
Rc[muli5_plout,addi4_plin] = 0.0
Rc[addi4_plout,cond_br33] = 1.0
Rc[addi25_plout,fork44] = 1.0
Rc[fork44,trunci5] = 1.0
Rc[fork44,cmpi12_plin] = 1.0
Rc[trunci5,cond_br43] = 1.0
Rc[cmpi12_plout,fork45] = 1.0
Rc[fork45,cond_br43] = 1.0
Rc[fork45,cond_br33] = 1.0
Rc[fork45,cond_br34] = 1.0
Rc[fork45,cond_br44] = 1.0
Rc[fork45,cond_br36] = 1.0
Rc[cond_br43,mux31_plin] = 1.0
Rc[cond_br43,sink9] = 1.0
Rc[cond_br33,mux20_plin] = 1.0
Rc[cond_br33,mc_store0] = 0.0
Rc[cond_br34,mux21_plin] = 1.0
Rc[cond_br34,cond_br38] = 1.0
Rc[cond_br44,mux32_plin] = 1.0
Rc[cond_br44,fork46] = 1.0
Rc[cond_br36,control_merge17] = 1.0
Rc[cond_br36,fork47] = 1.0
Rc[fork46,extsi78] = 1.0
Rc[fork46,extsi79] = 0.0
Rc[extsi78,addi26_plin] = 1.0
Rc[extsi79,mc_store0] = 0.0
Rc[fork47,constant5] = 0.0
Rc[fork47,cond_br39] = 1.0
Rc[constant5,extsi22] = 0.0
Rc[source12,constant40] = 0.0
Rc[constant40,extsi80] = 0.0
Rc[extsi80,cmpi13_plin] = 0.0
Rc[source13,constant41] = 0.0
Rc[constant41,extsi81] = 0.0
Rc[extsi81,addi26_plin] = 0.0
Rc[addi26_plout,fork48] = 1.0
Rc[fork48,trunci6] = 1.0
Rc[fork48,cmpi13_plin] = 1.0
Rc[trunci6,cond_br45] = 1.0
Rc[cmpi13_plout,fork49] = 1.0
Rc[fork49,cond_br45] = 1.0
Rc[fork49,cond_br38] = 1.0
Rc[fork49,cond_br39] = 1.0
Rc[cond_br45,mux30_plin] = 1.0
Rc[cond_br45,sink10] = 1.0
Rc[cond_br38,mux18_plin] = 1.0
Rc[cond_br38,sink11] = 1.0
Rc[cond_br39,control_merge16] = 1.0
Rc[cond_br39,return1_plin] = 1.0
Rc[return1_plout,end1_plin] = 1.0
Rc[LSQ3,LSQ_load2_plin] = 1.0
Rc[LSQ3,LSQ_load5_plin] = 1.0
Rc[LSQ3,end1_plin] = 1.0
Rc[LSQ4,LSQ_load3_plin] = 1.0
Rc[LSQ4,LSQ_load6_plin] = 1.0
Rc[LSQ4,end1_plin] = 1.0
Nc[alpha,mux1_plin] = 0.0
Nc[beta,mux2_plin] = 0.0
Nc[start_0,fork0] = 0.0
Nc[fork0,constant0] = 0.0
Nc[fork0,control_merge11] = 0.0
Nc[constant0,extsi25] = 0.0
Nc[extsi25,mux23_plin] = 0.0
Nc[mux1_plout,mux4_plin] = 0.0
Nc[mux2_plout,mux5_plin] = 0.0
Nc[mux23_plout,mux25_plin] = 0.0
Nc[control_merge11,fork1] = 0.0
Nc[control_merge11,fork2] = 0.0
Nc[fork1,mux1_plin] = 0.0
Nc[fork1,mux2_plin] = 0.0
Nc[fork1,mux23_plin] = 0.0
Nc[fork2,constant1] = 0.0
Nc[fork2,control_merge12] = 0.0
Nc[constant1,extsi26] = 0.0
Nc[extsi26,mux24_plin] = 0.0
Nc[mux24_plout,fork3] = 0.0
Nc[fork3,extsi27] = 0.0
Nc[fork3,extsi28] = 4.0
Nc[fork3,extsi29] = 0.0
Nc[fork3,extsi30] = 0.0
Nc[extsi27,addi17_plin] = 4.0
Nc[extsi28,addi16_plin] = 0.0
Nc[extsi29,addi18_plin] = 0.0
Nc[extsi30,fork4] = 0.0
Nc[fork4,mc_load1_plin] = 0.0
Nc[fork4,mc_load3_plin] = 0.0
Nc[mux4_plout,cond_br8] = 0.0
Nc[mux5_plout,cond_br9] = 0.0
Nc[mux25_plout,fork5] = 0.0
Nc[fork5,extsi31] = 0.0
Nc[fork5,extsi32] = 0.0
Nc[fork5,extsi33] = 0.0
Nc[fork5,cond_br1] = 2.0
Nc[extsi31,muli11_plin] = 0.0
Nc[extsi32,muli10_plin] = 0.0
Nc[extsi33,fork6] = 0.0
Nc[fork6,mc_load0_plin] = 0.0
Nc[fork6,mc_load2_plin] = 0.0
Nc[control_merge12,fork7] = 0.0
Nc[control_merge12,lazy_fork0] = 1.0
Nc[fork7,mux24_plin] = 0.0
Nc[fork7,mux4_plin] = 0.0
Nc[fork7,mux5_plin] = 0.0
Nc[fork7,mux25_plin] = 0.0
Nc[lazy_fork0,fork8] = 0.0
Nc[lazy_fork0,cond_br11] = 0.0
Nc[lazy_fork0,LSQ3] = 4.0
Nc[fork8,constant2] = 0.0
Nc[constant2,extsi2] = 0.0
Nc[source0,constant23] = 0.0
Nc[constant23,fork9] = 0.0
Nc[fork9,extsi34] = 0.0
Nc[fork9,extsi35] = 0.0
Nc[fork9,extsi36] = 0.0
Nc[extsi34,muli11_plin] = 0.0
Nc[extsi35,muli10_plin] = 0.0
Nc[extsi36,cmpi7_plin] = 0.0
Nc[source1,constant24] = 0.0
Nc[constant24,extsi37] = 0.0
Nc[extsi37,addi18_plin] = 0.0
Nc[muli10_plout,extsi38] = 0.0
Nc[extsi38,addi16_plin] = 0.0
Nc[addi16_plout,extsi39] = 0.0
Nc[extsi39,mc_load8_plin] = 0.0
Nc[mc_load8_plout,addi0_plin] = 0.0
Nc[mc_load0_plout,muli0_plin] = 0.0
Nc[mc_load1_plout,muli0_plin] = 0.0
Nc[muli0_plout,addi0_plin] = 0.0
Nc[addi0_plout,addi1_plin] = 0.0
Nc[mc_load2_plout,muli1_plin] = 0.0
Nc[mc_load3_plout,muli1_plin] = 0.0
Nc[muli1_plout,addi1_plin] = 0.0
Nc[addi1_plout,LSQ_store0] = 0.0
Nc[muli11_plout,extsi40] = 0.0
Nc[extsi40,addi17_plin] = 0.0
Nc[addi17_plout,extsi41] = 0.0
Nc[extsi41,LSQ_store0] = 1.0
Nc[LSQ_store0,LSQ3] = 0.0
Nc[addi18_plout,fork10] = 0.0
Nc[fork10,trunci0] = 0.0
Nc[fork10,cmpi7_plin] = 0.0
Nc[trunci0,cond_br0] = 2.0
Nc[cmpi7_plout,fork11] = 0.0
Nc[fork11,cond_br0] = 0.0
Nc[fork11,cond_br8] = 0.0
Nc[fork11,cond_br9] = 0.0
Nc[fork11,cond_br1] = 0.0
Nc[fork11,cond_br11] = 0.0
Nc[cond_br0,mux24_plin] = 0.0
Nc[cond_br0,sink0] = 0.0
Nc[cond_br8,mux4_plin] = 0.0
Nc[cond_br8,cond_br13] = 0.0
Nc[cond_br9,mux5_plin] = 0.0
Nc[cond_br9,cond_br14] = 0.0
Nc[cond_br1,mux25_plin] = 0.0
Nc[cond_br1,extsi42] = 0.0
Nc[cond_br11,control_merge12] = 0.0
Nc[cond_br11,fork12] = 0.0
Nc[extsi42,addi19_plin] = 0.0
Nc[fork12,constant25] = 0.0
Nc[fork12,cond_br15] = 0.0
Nc[constant25,cond_br3] = 0.0
Nc[source2,constant26] = 0.0
Nc[constant26,extsi43] = 0.0
Nc[extsi43,cmpi8_plin] = 0.0
Nc[source3,constant27] = 0.0
Nc[constant27,extsi44] = 0.0
Nc[extsi44,addi19_plin] = 0.0
Nc[addi19_plout,fork13] = 0.0
Nc[fork13,trunci1] = 0.0
Nc[fork13,cmpi8_plin] = 0.0
Nc[trunci1,cond_br2] = 0.0
Nc[cmpi8_plout,fork14] = 0.0
Nc[fork14,cond_br2] = 0.0
Nc[fork14,cond_br13] = 0.0
Nc[fork14,cond_br14] = 0.0
Nc[fork14,cond_br15] = 0.0
Nc[fork14,cond_br3] = 0.0
Nc[cond_br2,mux23_plin] = 0.0
Nc[cond_br2,sink1] = 0.0
Nc[cond_br13,mux1_plin] = 0.0
Nc[cond_br13,mux8_plin] = 3.0
Nc[cond_br14,mux2_plin] = 0.0
Nc[cond_br14,mux9_plin] = 3.0
Nc[cond_br15,control_merge11] = 0.0
Nc[cond_br15,control_merge13] = 3.0
Nc[cond_br3,extsi45] = 3.0
Nc[cond_br3,sink2] = 0.0
Nc[extsi45,mux26_plin] = 0.0
Nc[mux26_plout,fork15] = 0.0
Nc[fork15,extsi46] = 0.0
Nc[fork15,mux28_plin] = 0.0
Nc[extsi46,mc_load6_plin] = 0.0
Nc[mux8_plout,mux12_plin] = 0.0
Nc[mux9_plout,mux13_plin] = 0.0
Nc[control_merge13,fork16] = 0.0
Nc[control_merge13,fork17] = 0.0
Nc[fork16,mux26_plin] = 0.0
Nc[fork16,mux8_plin] = 0.0
Nc[fork16,mux9_plin] = 0.0
Nc[fork17,constant28] = 0.0
Nc[fork17,control_merge14] = 0.0
Nc[constant28,extsi47] = 0.0
Nc[mc_load6_plout,mux11_plin] = 0.0
Nc[extsi47,mux27_plin] = 0.0
Nc[mux27_plout,fork18] = 1.0
Nc[fork18,extsi48] = 0.0
Nc[fork18,extsi49] = 0.0
Nc[fork18,extsi50] = 0.0
Nc[extsi48,addi21_plin] = 0.0
Nc[extsi49,muli12_plin] = 0.0
Nc[extsi50,mc_load4_plin] = 0.0
Nc[mux11_plout,addi2_plin] = 0.0
Nc[mux12_plout,cond_br19] = 1.0
Nc[mux13_plout,fork19] = 0.0
Nc[fork19,muli2_plin] = 0.0
Nc[fork19,cond_br20] = 0.0
Nc[mux28_plout,fork20] = 0.0
Nc[fork20,extsi51] = 0.0
Nc[fork20,cond_br5] = 0.0
Nc[extsi51,addi20_plin] = 0.0
Nc[control_merge14,fork21] = 0.0
Nc[control_merge14,lazy_fork1] = 1.0
Nc[fork21,mux27_plin] = 0.0
Nc[fork21,mux11_plin] = 0.0
Nc[fork21,mux12_plin] = 0.0
Nc[fork21,mux13_plin] = 0.0
Nc[fork21,mux28_plin] = 0.0
Nc[lazy_fork1,cond_br22] = 0.0
Nc[lazy_fork1,LSQ3] = 0.0
Nc[source4,constant29] = 0.0
Nc[constant29,fork22] = 0.0
Nc[fork22,extsi52] = 0.0
Nc[fork22,extsi53] = 0.0
Nc[extsi52,cmpi9_plin] = 0.0
Nc[extsi53,muli12_plin] = 0.0
Nc[source5,constant30] = 0.0
Nc[constant30,extsi54] = 0.0
Nc[extsi54,addi21_plin] = 0.0
Nc[muli12_plout,extsi55] = 0.0
Nc[extsi55,addi20_plin] = 0.0
Nc[addi20_plout,extsi56] = 0.0
Nc[extsi56,LSQ_load2_plin] = 0.0
Nc[LSQ_load2_plout,muli2_plin] = 0.0
Nc[LSQ_load2_plout,LSQ3] = 0.0
Nc[muli2_plout,muli3_plin] = 0.0
Nc[mc_load4_plout,muli3_plin] = 0.0
Nc[muli3_plout,addi2_plin] = 0.0
Nc[addi2_plout,cond_br18] = 0.0
Nc[addi21_plout,fork23] = 0.0
Nc[fork23,trunci2] = 0.0
Nc[fork23,cmpi9_plin] = 0.0
Nc[trunci2,cond_br4] = 0.0
Nc[cmpi9_plout,fork24] = 0.0
Nc[fork24,cond_br4] = 0.0
Nc[fork24,cond_br18] = 0.0
Nc[fork24,cond_br19] = 0.0
Nc[fork24,cond_br20] = 0.0
Nc[fork24,cond_br5] = 0.0
Nc[fork24,cond_br22] = 0.0
Nc[cond_br4,mux27_plin] = 0.0
Nc[cond_br4,sink3] = 0.0
Nc[cond_br18,mux11_plin] = 0.0
Nc[cond_br18,LSQ_store1] = 0.0
Nc[cond_br19,mux12_plin] = 0.0
Nc[cond_br19,cond_br24] = 0.0
Nc[cond_br20,mux13_plin] = 0.0
Nc[cond_br20,cond_br25] = 0.0
Nc[cond_br5,mux28_plin] = 0.0
Nc[cond_br5,fork25] = 0.0
Nc[cond_br22,control_merge14] = 0.0
Nc[cond_br22,lazy_fork2] = 0.0
Nc[fork25,extsi57] = 0.0
Nc[fork25,extsi58] = 0.0
Nc[extsi57,addi22_plin] = 0.0
Nc[extsi58,LSQ_store1] = 0.0
Nc[lazy_fork2,fork26] = 0.0
Nc[lazy_fork2,cond_br26] = 0.0
Nc[lazy_fork2,LSQ4] = 0.0
Nc[fork26,constant3] = 0.0
Nc[fork26,constant31] = 0.0
Nc[constant3,extsi11] = 0.0
Nc[constant31,cond_br40] = 0.0
Nc[source6,constant32] = 0.0
Nc[constant32,extsi59] = 0.0
Nc[extsi59,cmpi10_plin] = 0.0
Nc[source7,constant33] = 0.0
Nc[constant33,extsi60] = 0.0
Nc[extsi60,addi22_plin] = 0.0
Nc[LSQ_store1,LSQ4] = 0.0
Nc[addi22_plout,fork27] = 0.0
Nc[fork27,trunci3] = 0.0
Nc[fork27,cmpi10_plin] = 0.0
